ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],# Registers [register/thread],Grid Size,Block Size [block],Result Type
149,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.41,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
150,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,780.90,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
151,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,219.39,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
152,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.64,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
153,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.72,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
154,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.67,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
155,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,817.57,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
156,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.17,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
157,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,765.50,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
158,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.83,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
159,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,57.89,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
160,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.42,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
161,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.90,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
162,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.38,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
163,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,781.34,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
164,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,219.62,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
165,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.70,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
166,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,60.06,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
167,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.48,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
168,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,819.10,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
169,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.14,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
170,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,764.64,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
171,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,97.34,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
172,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.85,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
173,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,105.12,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
174,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,620.16,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
175,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.25,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
176,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,782.08,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
177,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,219.26,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
178,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.86,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
179,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.21,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
180,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.38,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
181,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,817.28,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
182,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.39,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
183,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,765.41,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
184,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.61,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
185,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.69,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
186,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.48,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
187,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.84,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
188,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.31,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
189,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,780.83,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
190,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,220,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
191,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.70,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
192,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,59.52,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
193,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.32,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
194,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,818.91,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
195,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.26,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
196,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,765.47,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
197,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.77,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
198,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,59.14,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
199,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.58,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
200,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.71,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
201,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.38,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
202,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,780.86,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
203,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,219.23,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
204,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.61,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
205,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.88,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
206,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.22,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
207,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,818.62,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
208,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.30,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
209,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,764.96,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
210,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,97.06,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
211,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.05,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
212,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.54,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
213,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.71,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
214,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.22,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
215,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,781.89,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
216,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,219.78,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
217,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,97.09,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
218,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.82,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
219,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.38,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
220,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,818.24,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
221,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.87,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
222,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,765.15,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
223,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.86,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
224,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.69,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
225,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.45,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
226,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,620.03,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
227,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.41,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
228,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,780.93,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
229,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,219.17,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
230,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.77,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
231,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.82,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
232,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.45,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
233,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,817.54,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
234,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.30,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
235,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,765.02,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
236,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.99,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
237,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.30,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
238,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.48,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
239,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.81,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
240,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.25,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
241,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,780.61,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
242,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,219.74,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
243,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.96,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
244,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,59.23,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
245,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.29,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
246,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,817.76,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
247,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,198.72,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
248,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,764.96,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
249,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.77,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
250,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,59.49,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
251,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.35,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
252,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.87,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
253,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.25,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
254,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,781.63,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
255,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,219.65,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
256,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.74,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
257,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.40,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
258,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.86,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
259,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,818.82,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
260,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.17,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
261,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,765.31,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
262,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.77,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
263,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.78,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
264,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.45,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
265,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.84,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
266,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.47,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
267,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,782.05,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
268,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,220.03,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
269,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.80,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
270,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,59.84,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
271,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.58,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
272,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,817.22,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
273,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.46,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
274,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,765.06,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
275,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.99,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
276,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,59.07,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
277,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.45,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
278,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.78,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
279,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.22,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
280,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,781.89,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
281,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,219.23,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
282,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.99,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
283,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,59.33,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
284,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.61,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
285,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,816.80,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
286,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.71,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
287,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,765.25,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
288,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.99,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
289,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.62,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
290,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.48,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
291,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.49,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
292,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.25,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
293,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,780.77,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
294,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,219.87,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
295,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.80,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
296,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.75,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
297,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.64,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
298,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,817.89,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
